id,full_title,chinese_title,english_title,release_date,parsed_chinese,parsed_english,notes
1187,絕命終結站 血脈 Final Destination: Bloodlines,絕命終結站,血脈 Final Destination: Bloodlines,2025-05-14,絕命終結站 血脈,Final Destination: Bloodlines,與 chinese_title 不同: 絕命終結站 | 與 english_title 不同: 血脈 Final Destination: Bloodlines
1188,老派 Analog,老派,Analog,2025-05-16,老派,Analog,
1189,怒女 Wannabe,怒女,Wannabe,2025-05-16,怒女,Wannabe,
1190,此刻的我們 We Live in Time,此刻的我們 We Live in,We Live in Time,2025-05-16,此刻的我們,We Live in Time,與 chinese_title 不同: 此刻的我們 We Live in
1191,蝸牛少女回憶錄 Memoir of a Snail,蝸牛少女回憶錄 Memoir of a,Memoir of a Snail,2025-05-16,蝸牛少女回憶錄,Memoir of a Snail,與 chinese_title 不同: 蝸牛少女回憶錄 Memoir of a
1192,第一夫人的逆襲 Bernadette,第一夫人的逆襲,Bernadette,2025-05-16,第一夫人的逆襲,Bernadette,
1193,不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,不可能的任務：最終清算,Mission: Impossible - The Final Reckoning,2025-05-17,不可能的任務：最終清算,Mission: Impossible - The Final Reckoning,
1194,對街的小星星 Solitude,對街的小星星,Solitude,2025-05-16,對街的小星星,Solitude,
1195,殭屍合唱團：夢想未完 Hung Up on a Dream,殭屍合唱團：夢想未完,Hung Up on a Dream,2025-05-16,殭屍合唱團：夢想未完,Hung Up on a Dream,
1196,雷霆特攻隊* Thunderbolts,雷霆特攻隊*,Thunderbolts,2025-04-30,雷霆特攻隊*,Thunderbolts,
1197,獵金·遊戲 A Gilded Game,獵金·遊戲 A Gilded,A Gilded Game,2025-05-09,獵金·遊戲,A Gilded Game,與 chinese_title 不同: 獵金·遊戲 A Gilded
1198,聖夜：惡魔都市 Holy Night: Demon Hunters,聖夜：惡魔都市,Holy Night: Demon Hunters,2025-04-30,聖夜：惡魔都市,Holy Night: Demon Hunters,
1199,會計師2 The Accountant 2,會計師2 The Accountant,The Accountant 2,2025-04-24,會計師2,The Accountant 2,與 chinese_title 不同: 會計師2 The Accountant
1200,MINECRAFT麥塊電影 A Minecraft Movie,MINECRAFT麥塊電影 A Minecraft,A Minecraft Movie,2025-04-02,MINECRAFT麥塊電影,A Minecraft Movie,與 chinese_title 不同: MINECRAFT麥塊電影 A Minecraft
1201,夏日最後的祕密 Summer Blue Hour,夏日最後的祕密 Summer Blue,Summer Blue Hour,2025-04-30,夏日最後的祕密,Summer Blue Hour,與 chinese_title 不同: 夏日最後的祕密 Summer Blue
1202,花束般的戀愛 We Made a Beautiful Bouquet,花束般的戀愛 We Made a Beautiful,We Made a Beautiful Bouquet,2025-04-30,花束般的戀愛,We Made a Beautiful Bouquet,與 chinese_title 不同: 花束般的戀愛 We Made a Beautiful
1203,禁夜屍 Rosario,禁夜屍,Rosario,2025-05-09,禁夜屍,Rosario,
1204,有病才會喜歡你 Lovesick,有病才會喜歡你,Lovesick,2025-04-02,有病才會喜歡你,Lovesick,
1205,冥婚鬧泰大 The Red Envelope,冥婚鬧泰大 The Red,The Red Envelope,2025-05-09,冥婚鬧泰大,The Red Envelope,與 chinese_title 不同: 冥婚鬧泰大 The Red
1206,囍宴 The Wedding Banquet,囍宴 The Wedding,The Wedding Banquet,2025-05-09,囍宴,The Wedding Banquet,與 chinese_title 不同: 囍宴 The Wedding
1207,"宮﨑駿的奇幻世界 Miyazaki, Spirit of Nature","宮﨑駿的奇幻世界 Miyazaki, Spirit of","Miyazaki, Spirit of Nature",2025-05-09,宮﨑駿的奇幻世界,"Miyazaki, Spirit of Nature","與 chinese_title 不同: 宮﨑駿的奇幻世界 Miyazaki, Spirit of"
1208,萬王之王 The King of Kings,萬王之王 The King of,The King of Kings,2025-04-18,萬王之王,The King of Kings,與 chinese_title 不同: 萬王之王 The King of
1209,罪人 Sinners,罪人,Sinners,2025-04-17,罪人,Sinners,
1210,取精急轉彎 Spermageddon,取精急轉彎,Spermageddon,2025-04-25,取精急轉彎,Spermageddon,
1211,ATEEZ演唱會電影 ATEEZ WORLD TOUR,ATEEZ演唱會電影 ATEEZ WORLD,ATEEZ WORLD TOUR,2025-05-09,ATEEZ演唱會電影,ATEEZ WORLD TOUR,與 chinese_title 不同: ATEEZ演唱會電影 ATEEZ WORLD
1212,所以親親會消失對不對 My Love Will Make You Disappear,所以親親會消失對不對 My Love Will Make You,My Love Will Make You Disappear,2025-05-09,所以親親會消失對不對,My Love Will Make You Disappear,與 chinese_title 不同: 所以親親會消失對不對 My Love Will Make You
1213,奧德蓋任務 Old Guy,奧德蓋任務 Old,Old Guy,2025-05-09,奧德蓋任務,Old Guy,與 chinese_title 不同: 奧德蓋任務 Old
1214,怪獸8號：Mission Recon Kaiju No.8,怪獸8號：Mission,Recon Kaiju No.8,2025-05-01,怪獸8號：Mission,Recon Kaiju No.8,
1215,GIVEN被贈與的未來劇場版：去海邊 Given 3: To the Sea,GIVEN被贈與的未來劇場版：去海邊,Given 3: To the Sea,2025-04-02,GIVEN被贈與的未來劇場版：去海邊,Given 3: To the Sea,
1216,超時空武士 A Samurai in Time,超時空武士 A Samurai in,A Samurai in Time,2025-05-09,超時空武士,A Samurai in Time,與 chinese_title 不同: 超時空武士 A Samurai in
1217,誰在看著我們 Who are Watching over us,誰在看著我們 Who are Watching over,Who are Watching over us,2025-05-09,誰在看著我們,Who are Watching over us,與 chinese_title 不同: 誰在看著我們 Who are Watching over
1218,長安三萬里 Chang An,長安三萬里 Chang,Chang An,2025-04-30,長安三萬里,Chang An,與 chinese_title 不同: 長安三萬里 Chang
1219,沈睡的水下巨人 Shipwrecks Taiwan,沈睡的水下巨人 Shipwrecks,Shipwrecks Taiwan,2025-04-25,沈睡的水下巨人,Shipwrecks Taiwan,與 chinese_title 不同: 沈睡的水下巨人 Shipwrecks
1220,直到黎明 UNTIL DAWN,直到黎明 UNTIL,UNTIL DAWN,2025-04-25,直到黎明,UNTIL DAWN,與 chinese_title 不同: 直到黎明 UNTIL
1221,歌劇生死戀 The Opera!,歌劇生死戀 The,The Opera!,2025-05-09,歌劇生死戀,The Opera!,與 chinese_title 不同: 歌劇生死戀 The
1222,秘密會議 Conclave,秘密會議,Conclave,2025-03-07,秘密會議,Conclave,
1223,跳進部落的孩子 Dancing Home,跳進部落的孩子 Dancing,Dancing Home,2025-04-30,跳進部落的孩子,Dancing Home,與 chinese_title 不同: 跳進部落的孩子 Dancing
1224,器子 Organ Girl,器子 Organ,Organ Girl,2025-04-11,器子,Organ Girl,與 chinese_title 不同: 器子 Organ
1225,泣聲驚魂 The Wailing,泣聲驚魂 The,The Wailing,2025-05-09,泣聲驚魂,The Wailing,與 chinese_title 不同: 泣聲驚魂 The
1226,劇場版 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,劇場版,世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,2025-03-28,劇場版 世界計畫,Colorful Stage! The Movie: A Miku Who Can't Sing,與 chinese_title 不同: 劇場版 | 與 english_title 不同: 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing
1227,天氣之子 Weathering With You,天氣之子 Weathering With,Weathering With You,2020-05-15,天氣之子,Weathering With You,與 chinese_title 不同: 天氣之子 Weathering With
1228,藍色太陽宮 Blue Sun Palace,藍色太陽宮 Blue Sun,Blue Sun Palace,2025-04-30,藍色太陽宮,Blue Sun Palace,與 chinese_title 不同: 藍色太陽宮 Blue Sun
1229,看我今天怎麼說 The Way We Talk,看我今天怎麼說 The Way We,The Way We Talk,2025-04-30,看我今天怎麼說,The Way We Talk,與 chinese_title 不同: 看我今天怎麼說 The Way We
1230,少年與狗 The Boy and the Dog,少年與狗 The Boy and the,The Boy and the Dog,2025-04-25,少年與狗,The Boy and the Dog,與 chinese_title 不同: 少年與狗 The Boy and the
1231,北極小迷狐：吉娜&尤克 Kina & Yuk,北極小迷狐：吉娜&尤克,Kina & Yuk,2025-04-25,北極小迷狐：吉娜&尤克,Kina & Yuk,
1232,學姊是男孩劇場版 Senpai is an Otokonoko,學姊是男孩劇場版 Senpai is an,Senpai is an Otokonoko,2025-04-25,學姊是男孩劇場版,Senpai is an Otokonoko,與 chinese_title 不同: 學姊是男孩劇場版 Senpai is an
1233,鬼房客 The Tenant,鬼房客 The,The Tenant,2025-04-25,鬼房客,The Tenant,與 chinese_title 不同: 鬼房客 The
1234,復仇反擊戰 The Amateur,復仇反擊戰 The,The Amateur,2025-04-11,復仇反擊戰,The Amateur,與 chinese_title 不同: 復仇反擊戰 The
1235,叛逃公主歷險記 Rebellious,叛逃公主歷險記,Rebellious,2025-04-04,叛逃公主歷險記,Rebellious,
1236,366日 366 Days,366日 366,366 Days,2025-04-02,366日,366 Days,與 chinese_title 不同: 366日 366
1237,夏之庭 The Friends(1994),夏之庭 The,The Friends(1994),2025-04-02,夏之庭,The Friends(1994),與 chinese_title 不同: 夏之庭 The
1238,我在平行時空戀上妳 My Beloved Stranger,我在平行時空戀上妳 My Beloved,My Beloved Stranger,2025-04-02,我在平行時空戀上妳,My Beloved Stranger,與 chinese_title 不同: 我在平行時空戀上妳 My Beloved
1239,超人力霸王雅克 Ultraman Arc the Movie,超人力霸王雅克 Ultraman Arc the,Ultraman Arc the Movie,2025-04-02,超人力霸王雅克,Ultraman Arc the Movie,與 chinese_title 不同: 超人力霸王雅克 Ultraman Arc the
1240,型男主廚三星夢：巴黎篇 Grand Maison Paris,型男主廚三星夢：巴黎篇,Grand Maison Paris,2025-03-28,型男主廚三星夢：巴黎篇,Grand Maison Paris,
1241,青春末世物語 Happyend,青春末世物語,Happyend,2025-03-21,青春末世物語,Happyend,
1242,白雪公主 Snow White and the Seven Dwarfs,白雪公主 Snow White and the Seven,Snow White and the Seven Dwarfs,2025-03-20,白雪公主,Snow White and the Seven Dwarfs,與 chinese_title 不同: 白雪公主 Snow White and the Seven
1243,喵的奇幻漂流 Flow,喵的奇幻漂流,Flow,2025-02-21,喵的奇幻漂流,Flow,
1244,我們的恐龍日記 Crayon Shinchan the Movie: Our Dinosaur Diary,我們的恐龍日記,Crayon Shinchan the Movie: Our Dinosaur Diary,2024-08-16,我們的恐龍日記,Crayon Shinchan the Movie: Our Dinosaur Diary,
1245,當殺手戀愛時 Hit Man,當殺手戀愛時 Hit,Hit Man,2024-05-31,當殺手戀愛時,Hit Man,與 chinese_title 不同: 當殺手戀愛時 Hit
1246,薩滿 The Medium,薩滿 The,The Medium,2021-08-25,薩滿,The Medium,與 chinese_title 不同: 薩滿 The
1247,留給未來的殘影 Afterimage for Tomorrow,留給未來的殘影 Afterimage for,Afterimage for Tomorrow,2020-01-15,留給未來的殘影,Afterimage for Tomorrow,與 chinese_title 不同: 留給未來的殘影 Afterimage for
1248,明月幾時有 Our Time Will Come,明月幾時有 Our Time Will,Our Time Will Come,2017-07-07,明月幾時有,Our Time Will Come,與 chinese_title 不同: 明月幾時有 Our Time Will
1249,舞池漫波 Bodies of Water,舞池漫波 Bodies of,Bodies of Water,,舞池漫波,Bodies of Water,與 chinese_title 不同: 舞池漫波 Bodies of
1250,我的乳房逃跑中 The Elephant I Found Under My Skin,我的乳房逃跑中 The Elephant I Found Under My,The Elephant I Found Under My Skin,,我的乳房逃跑中,The Elephant I Found Under My Skin,與 chinese_title 不同: 我的乳房逃跑中 The Elephant I Found Under My
1251,石像鬼歹逗陣 Gargoyle Doyle,石像鬼歹逗陣 Gargoyle,Gargoyle Doyle,,石像鬼歹逗陣,Gargoyle Doyle,與 chinese_title 不同: 石像鬼歹逗陣 Gargoyle
1252,心的告白 Heartbeat,心的告白,Heartbeat,,心的告白,Heartbeat,
1253,茶道小精靈：千 Sen,茶道小精靈：千,Sen,,茶道小精靈：千,Sen,
1254,行者(2012) Walker(2012),行者(2012),Walker(2012),,行者(2012),Walker(2012),
1255,窒息倒數 Last Breath,窒息倒數 Last,Last Breath,2025-02-28,窒息倒數,Last Breath,與 chinese_title 不同: 窒息倒數 Last
1256,台北追緝令 Weekend in Taipei,台北追緝令 Weekend in,Weekend in Taipei,2024-09-25,台北追緝令,Weekend in Taipei,與 chinese_title 不同: 台北追緝令 Weekend in
1257,美國隊長：無畏新世界 Captain America: Brave New World,美國隊長：無畏新世界,Captain America: Brave New World,2025-02-12,美國隊長：無畏新世界,Captain America: Brave New World,
1258,夜校女生 The Uniform,夜校女生 The,The Uniform,2025-02-27,夜校女生,The Uniform,與 chinese_title 不同: 夜校女生 The
1259,2018大洪水 2018：Everyone is a Hero,2018大洪水,2018：Everyone is a Hero,2025-02-21,2018大洪水,2018：Everyone is a Hero,
